analysis,dataset,threshold,n_cells,n_folds_or_splits,accuracy,balanced_accuracy,macro_f1,melanocytic_like_recall,adverse_like_recall,status,manuscript_note
Primary held-out grouped test,GSE115978_primary_held_out_test,0.7,147,1,0.7142857142857143,0.7334360554699537,0.7136363636363636,0.6363636363636364,0.8305084745762712,success,Primary threshold 0.70 was used for pilot hard-label reporting; Phase 5 uses continuous delta P(adverse_like) as the main perturbation readout.
Repeated grouped retraining,GSE115978 sample-level folds,fold-selected,610,5,0.8153506960245505,0.8109933781963818,0.7920394121359295,0.7824048446999268,0.8395819116928367,conditional; folds 1 and 5 show edge failures,Grouped retraining supports feasibility but shows sample-composition sensitivity.
Processed-expression sensitivity,GSE72056_processed_expression_sensitivity,0.7,675,1,0.6148148148148148,0.6847008843066139,0.6130952380952381,0.8726415094339622,0.4967602591792656,processed-expression sensitivity only,GSE72056 is non-integer processed expression and is not used as strong external validation.
Fold failure audit,GSE115978 repeated grouped folds,fold-selected,610,5,,,,,,melanocytic_like_recall_lt_0.50; passes_minimum_metric_thresholds; passes_minimum_metric_thresholds; passes_minimum_metric_thresholds; adverse_like_recall_lt_0.70,"Fold failures are interpreted as sampling/threshold instability, not biological findings."
